id	title	old_field	label	field	ig_winner	field_num
1311	Mother-offspring recognition in the domestic cat: Kittens recognize their own mother's call.	biology	1	bio_env	0	1
573	Robbing Banks: Crime Does Pay - But Not Very Much	mathematics	1	exact_eng	0	2
2834	Differential changes in perceived contrast following contrast adaptation in humans	neuroscience	0	neuroscience	0	4
2641	The diminished interhemispheric connectivity correlates with negative symptoms and cognitive impairment in first-episode schizophrenia	neuroscience	0	neuroscience	0	4
705	Blow as well as pull: an innovative technique for dealing with a rectal foreign body.	medicine	1	medicine	0	3
1937	Effects of long term inhaled high dose beclomethasone dipropionate on adrenal function.	medicine	0	medicine	0	3
2334	Recovery of c-phycocyanin from the cyanobacteriumSpirulina maxima	bio_env	0	bio_env	0	1
2013	Role of viagra after radical prostatectomy	medicine	0	medicine	0	3
2384	Feeding territoriality and the reproductive consequences in brown skuas Catharacta antarctica lonnbergi	bio_env	0	bio_env	0	1
3097	Loss of consciousness is related to hyper-correlated gamma-band activity in anesthetized macaques and sleeping humans	neuroscience	0	neuroscience	0	4
655	Consumer Preferred Hot Beverage Temperatures	biology	1	bio_env	0	1
587	Use of incidentally encoded memory from a single experience in cats	psychology	1	neuroscience	0	4
1494	The Stressful Kiss: A Biopsychosocial Evaluation of the Origins Evolution and Societal Significance of Vampirism	medicine	1	medicine	0	3
1162	The Weighted Airman Promotion System. Standardizing Test Scores.	mathematics	1	exact_eng	0	2
2687	Risk Factors of Violence against Women in Peru	neuroscience	0	neuroscience	0	4
1060	Joy of the Rus: Rites and Rituals of Russian Drinking	humanities	1	neuroscience	0	4
3085	Performance Limitations of Relay Neurons	neuroscience	0	neuroscience	0	4
1610	Marmite in Sprue	medicine	1	medicine	0	3
1817	Echocardiography in a Patient on Mechanical Ventilation.	medicine	0	medicine	0	3
1210	Why Rudolph's nose is red: observational study	medicine	1	medicine	0	3
2677	How is renal function 45 years after SCI?	neuroscience	0	neuroscience	0	4
899	The parasite that wasn't	medicine	1	medicine	0	3
818	Vegemite Allergy?	medicine	1	medicine	0	3
2541	Predictive Processing: A Canonical Cortical Computation	neuroscience	0	neuroscience	0	4
2881	The possible use of hypoxic preconditioning for the prophylaxis of post-stress depressive episodes	neuroscience	0	neuroscience	0	4
796	Removal of a long PVC pipe strangulated in the penis by hot-melt method.	medicine	1	medicine	0	3
3122	Eyelid Myokymia in an Older Subject After Repetitive Sessions of Anodal Transcranial Direct Current Stimulation	neuroscience	0	neuroscience	0	4
86	Dogs are Sensitive to Small Variations of the Earth's Magnetic Field	biology	1	bio_env	1	1
17	How to Procrastinate and Still Get Things Done	humanities	1	neuroscience	1	4
1359	Things that go bump in the night: the parasomnias revisited	medicine	1	medicine	0	3
35	Faces and Behinds: Chimpanzee Sex Perception	biology	1	bio_env	1	1
1214	Technology: go ahead, make my DNA.	genetics	1	medicine	0	3
934	Methylation-based enrichment facilitates low-cost, noninvasive genomic scale sequencing of populations from feces	biology	1	bio_env	0	1
1168	Every cloud has a silver lining: positive effects of deviant coworkers.	psychology	1	neuroscience	0	4
1672	Reach the Leech: An Unusual Cause of Hematuria.	medicine	1	medicine	0	3
1629	Gender Differences in Receptivity to Sexual Offers.	psychology	1	neuroscience	0	4
2309	Resource utilization of sympatric and experimentally allopatric cutthroat trout and Dolly Varden charr	bio_env	0	bio_env	0	1
414	Effect of shoe type on descending a curb	physics	1	exact_eng	0	2
1001	Navigation-related structural change in the hippocampi of taxi drivers	psychology	1	neuroscience	0	4
2711	Stress-induced altered cholinergic–glutamatergic interactions in the mouse hippocampus	neuroscience	0	neuroscience	0	4
1304	Get me out of this slump! Visual illusions improve sports performance.	psychology	1	neuroscience	0	4
2695	Induced neuronal differentiation of human embryonic stem cells	neuroscience	0	neuroscience	0	4
1320	Cooperation in Male Lions: Kinship, Reciprocity or Mutualism?	biology	1	bio_env	0	1
644	A Story about a Stupid Person Can Make You Act Stupid (or Smart): Behavioral Assimilation (and Contrast) as Narrative Impact	psychology	1	neuroscience	0	4
2183	Choosing the right MALT.	medicine	0	medicine	0	3
2949	Vivid visual mental imagery in the absence of the primary visual cortex	neuroscience	0	neuroscience	0	4
2902	Laterality of cortical response to ethanol is moderated by TaqIA A1 allele.	neuroscience	0	neuroscience	0	4
2669	A Robust Feedforward Model of the Olfactory System	neuroscience	0	neuroscience	0	4
1400	The effect of repeated bouts of backward walking on physiologic efficiency.	physics	1	exact_eng	0	2
1000	The relationships among height, penile length, and foot size	medicine	1	medicine	0	3
3307	A novel interferometric wavelength converter	exact_eng	0	exact_eng	0	2
2875	Perception of motion trajectory of object from the moving cast shadow in infants	neuroscience	0	neuroscience	0	4
1496	A comparison of buttress drumming by male chimpanzees from two populations	biology	1	bio_env	0	1
1614	Comparison microscope identification of a cheese bitemark: a case report.	humanities	1	bio_env	0	1
1751	Biomarkers for Dysplastic Barrett’s: Ready for Prime Time?	medicine	0	medicine	0	3
2048	Prognostic Factors of Anaplastic Thyroid Carcinoma	medicine	0	medicine	0	3
661	Characterization of coarse particulate matter in school gyms.	medicine	1	medicine	0	3
2971	“Nonspatial” Attentional Deficits Interact with Spatial Position in Neglect	neuroscience	0	neuroscience	0	4
297	Witches saints and other diseases	humanities	1	neuroscience	0	4
1581	Does Posting Facebook Status Updates Increase or Decrease Loneliness? An Online Social Networking Experiment.	psychology	1	neuroscience	0	4
1389	Determination of Favorite Components of Garbage by Dogs	biology	1	bio_env	0	1
1134	A Penis-shortening Device Described by the 13th Century Poet Rumi	humanities	1	exact_eng	0	2
1656	Images of Madness in the Films of Walt Disney	psychology	1	neuroscience	0	4
1338	Effects of Alcohol Personality and Provocation on the Expression of Anger in Men: A Facial Coding Analysis	medicine	1	medicine	0	3
2354	Special issue of Organic Agriculture—Organic 3.0	bio_env	0	bio_env	0	1
2589	Stem cell transplantation for auditory nerve replacement	neuroscience	0	neuroscience	0	4
2903	Responses to a novel food acquisition task in three species of lemurs	neuroscience	0	neuroscience	0	4
1850	Outcome disparities among ethnic subgroups of Waldenström's macroglobulinemia: a population-based study.	medicine	0	medicine	0	3
1780	Referral of women to ambulatory blood pressure monitoring.	medicine	0	medicine	0	3
3192	Introduction: Youth Gambling	neuroscience	0	neuroscience	0	4
2222	Maternal-fetal resource allocation.	medicine	0	medicine	0	3
3374	Positive temperature coefficient of impact ionization in strained-Si	exact_eng	0	exact_eng	0	2
1470	Sudden Whitening of the Hair: An Historical Fiction?	medicine	1	medicine	0	3
2579	Physical exercise, neuroplasticity, spatial learning and memory	neuroscience	0	neuroscience	0	4
121	Walking like dinosaurs: chickens with artificial tails provide clues about non-avian theropod locomotion.	biology	1	bio_env	1	1
1946	Morphometric study of Schistosoma mansoni adult worms recovered from Undernourished infected mice.	medicine	0	medicine	0	3
2549	Representation and Extrapolation in Multilayer Perceptrons	neuroscience	0	neuroscience	0	4
3385	On Minimum Phase	exact_eng	0	exact_eng	0	2
1396	Which Feels Heavier - A Pound of Lead or a Pound of Feathers? A Potential Perceptual Basis of a Cognitive Riddle.	psychology	1	neuroscience	0	4
1514	An evaluation of touch on a large request: a field setting.	medicine	1	medicine	0	3
2134	Two Distinct Types of Linear Distribution in Nonmass Enhancement at Breast MR Imaging: Difference in Positive Predictive Value between Linear and Branching Patterns.	medicine	0	medicine	0	3
647	Proliferating principles; or how to sup with the devil without getting eaten	humanities	1	neuroscience	0	4
2262	Factors affecting the initiation of mini-rhizomes from Trillium erectum and T. grandiflorum tissues in vitro	bio_env	0	bio_env	0	1
2974	Children's use of adult testimony to guide food selection	neuroscience	0	neuroscience	0	4
1451	Identification and quantification of flavor attributes present in chicken, lamb, pork, beef, and turkey.	chemistry	1	neuroscience	0	4
247	Irrelevant events affect voters' evaluations of government performance.	psychology	1	neuroscience	0	4
3141	Asymmetric activation spreading in the multiplication associative network due to asymmetric overlap between numerosities semantic representations?	neuroscience	0	neuroscience	0	4
83	Psychoacoustics of a Chilling Sound.	psychology	1	neuroscience	1	4
3147	Further evidence for mirror-reversed laterality in lines of fish selected for leftward or rightward turning when facing a predator model	neuroscience	0	neuroscience	0	4
2026	Salt intake in 3-year-old Japanese children	medicine	0	medicine	0	3
554	Designing and Testing an Improved Packaging for Large Hollow Chocolate Bunnies.	chemistry	1	exact_eng	0	2
665	Preconditioning an Audience for Mental Magic: An Informal Look	psychology	1	neuroscience	0	4
2609	Toward a common identity for relationally oriented clinicians: a place to hang one's hat.	neuroscience	0	neuroscience	0	4
1955	Bronchography in the assessment of patients with lung collapse for endoscopic laser therapy.	medicine	0	medicine	0	3
2976	Prevalence and correlates of psychotic symptoms among Asian males	neuroscience	0	neuroscience	0	4
1838	Computed tomography of acute pulmonary embolism: state-of-the-art	medicine	0	medicine	0	3
2954	Current advances in lesion-symptom mapping of the human cerebellum	neuroscience	0	neuroscience	0	4
547	Bat attack! : an unusual cause of keratouveitis.	medicine	1	medicine	0	3
1197	Rate of Penetration of a Porcupine Spine.	biology	1	bio_env	0	1
2681	Brain aging: reorganizing discoveries about the aging mind	neuroscience	0	neuroscience	0	4
1368	Oscillations of Heart Rate and Respiration Synchronize During Poetry Recitation.	medicine	1	medicine	0	3
1254	Fecal Matters: Habitus, Embodiments, and Deviance	psychology	1	neuroscience	0	4
1971	A pilot study on thoracoscopic internal mammary lymphatic chain dissection for breast cancer.	medicine	0	medicine	0	3
2916	Functional role of inflammatory cytokines and antiinflammatory molecules in seizures and epileptogenesis.	neuroscience	0	neuroscience	0	4
1779	Antibiotic stewardship: do not rely on de-escalation alone	medicine	0	medicine	0	3
510	The Cooling Power of the Pigeon Head.	physics	1	exact_eng	0	2
179	The Therapeutic Touch	medicine	1	medicine	1	3
1794	Daytime gastro-oesophageal reflux is important in oesophagitis.	medicine	0	medicine	0	3
1923	Left ventricular outflow tract obstruction in hypertrophic cardiomyopathy: past, present and future.	medicine	0	medicine	0	3
1871	Ovipositional behavior of lesser peachtree borer in presence of host-plant volatiles	medicine	0	medicine	0	3
2368	Seed arrival under different genera of trees in a neotropical pasture	bio_env	0	bio_env	0	1
684	How Smart Are the Smart Guys? A Unique View from Hedge Fund Stock Holdings.	economics	1	neuroscience	0	4
1303	Role of Conditioning and Verbal Suggestion in Placebo and Nocebo Effects on Itch	psychology	1	neuroscience	0	4
2094	Ethanol production by Zymomonas mobilis entrapped in alumina pellets	medicine	0	medicine	0	3
2156	A comparison of endothelial cell loss after phacoemulsification in penetrating keratoplasty patients and normal patients.	medicine	0	medicine	0	3
561	Would Tarzan believe in God? Conditions for the emergence of religious belief.	psychology	1	neuroscience	0	4
3265	Extremal hypergraphs and bounds for the Turán density of the 4-uniform K5	exact_eng	0	exact_eng	0	2
3288	High-Responsivity Si Photodiodes at 1060 nm in Standard CMOS Technology	exact_eng	0	exact_eng	0	2
1143	"Treatment of ""Pernicious Anaemia of Pregnancy"" and ""Tropical Anaemia"" with Special Reference to Yeast Extract as a Curative Agent"	medicine	1	medicine	0	3
3152	tDCS application over the STG improves the ability to recognize and appreciate elements involved in humor processing	neuroscience	0	neuroscience	0	4
693	Vegemite as a Marker of National Identity	humanities	1	neuroscience	0	4
2480	Comparative mapping and its use for the genetic analysis of agronomic characters in wheat	bio_env	0	bio_env	0	1
3334	TMR crystal controlled clock	exact_eng	0	exact_eng	0	2
687	Getting to the Root of Fine Motor Skill Performance in Dentistry: Brain Activity During Dental Tasks in a Virtual Reality Haptic Simulation	medicine	1	medicine	0	3
791	On the Rigid Punch with Friction.	physics	1	exact_eng	0	2
2789	Expression of platelet-derived growth factor after intrastriatal ibotenic acid injury	neuroscience	0	neuroscience	0	4
2569	Stable orientation tuning in the visual cortex	neuroscience	0	neuroscience	0	4
633	A Lucky Catch: Fishhook Injury of the Tongue	medicine	1	medicine	0	3
1468	Severe Infestation of a She-Ass with the Cat Flea Ctenocephalides felis felis (Bouche 1835)	medicine	1	medicine	0	3
1423	Human cysticercosis of the breast mimicking breast cancer: a report of a case from Ile-Ife, Nigeria. .	medicine	1	medicine	0	3
2188	Endobronchial HIV associated lymphoma.	medicine	0	medicine	0	3
249	Beware of the flaming hairball--a brief review and warning.	medicine	1	medicine	0	3
1285	The effect of humor on memory: constrained by the pun.	psychology	1	neuroscience	0	4
1052	Passage of feed through the adult rooster	medicine	1	medicine	0	3
577	A new perspective on spontaneous blinks	medicine	1	medicine	0	3
833	Pharyngeal Irritation After Eating Cooked Tarantula.	medicine	1	medicine	0	3
663	President Kennedy's death: a poison arrow-assisted homicide.	medicine	1	medicine	0	3
896	Presidential laugh lines. Candidate display behavior and audience laughter in the 2008 primary debates.	psychology	1	neuroscience	0	4
3243	Expectation-Maximization-Based Channel Estimation for Multiuser MIMO Systems	exact_eng	0	exact_eng	0	2
3123	Relationship between chronic pain and brain reorganization after deafferentation: A systematic review of functional MRI findings☆	neuroscience	0	neuroscience	0	4
1654	Costly Cell Phones: The Impact of Cell Phone Rings on Academic Performance.	psychology	1	neuroscience	0	4
2122	What are the practical implications of current data on the worldwide prevalence of COPD?	medicine	0	medicine	0	3
1059	Koro: The Psychological Disappearance of the Penis.	medicine	1	medicine	0	3
1314	Bystander reaction to women fighting: developing a theory of intervention.	psychology	1	neuroscience	0	4
2444	High-density linkage mapping of yield components and epistatic interactions in maize with doubled haploid lines from four crosses	bio_env	0	bio_env	0	1
2538	Staging TDP-43 pathology in Alzheimer’s disease	neuroscience	0	neuroscience	0	4
3379	A Discriminative Metric Learning Based Anomaly Detection Method	exact_eng	0	exact_eng	0	2
2980	Can we do without mydriasis in multifocal ERG recordings?	neuroscience	0	neuroscience	0	4
914	Children's Perceptions of Peer Reputations and Their Social Reputations Among Peers	psychology	1	neuroscience	0	4
1078	Characterization of hangover following intravenous alcohol exposure in social drinkers: methodological and clinical implications.	psychology	1	neuroscience	0	4
1638	Perception of Female Buttocks and Breast Size in Profile	psychology	1	neuroscience	0	4
2457	Group size variability in primates	bio_env	0	bio_env	0	1
640	Fruit Machine Addiction in Females: A Case Study.	psychology	1	neuroscience	0	4
2672	Anticipatory models in gaze control: a developmental model	neuroscience	0	neuroscience	0	4
773	Meetings and More Meetings: The Relationship Between Meeting Load and the Daily Well-Being of Employees.	psychology	1	neuroscience	0	4
3320	Processing speed in the motion-induction effect.	exact_eng	0	exact_eng	0	2
1033	Jesus at School	humanities	1	neuroscience	0	4
1158	Weird Alien Communication: Panspermia	physics	1	exact_eng	0	2
642	Four-Finger Grip Bag with Tea to Prevent Smell of Contractured Hands and Axilla in Bedridden Patients.	medicine	1	medicine	0	3
2321	Development of microsatellite markers for the white mangrove (Laguncularia racemosa C.F. Gaertn., Combretaceae)	bio_env	0	bio_env	0	1
785	Animal or plant: which is the better fog water collector?	biology	1	bio_env	0	1
2296	Exploring New Areas: How Important is Long-Term Spatial Memory for Mangabey (Lophocebus albigena johnstonii) Foraging Efficiency?	bio_env	0	bio_env	0	1
93	On the Reception and Detection of Pseudo-Profound Bullshit	humanities	1	neuroscience	1	4
95	Intelligence: Maze-Solving by an Amoeboid Organism	psychology	1	neuroscience	1	4
1533	Not so luck of the Irish: four-leaf clover-shaped quadricusp aortic valve found around St. Patrick's day.	medicine	1	medicine	0	3
2966	Lycopene Inhibits Ischemia/Reperfusion-Induced Neuronal Apoptosis in Gerbil Hippocampal Tissue	neuroscience	0	neuroscience	0	4
1486	Metal Detectors: An Alternative Approach to the Evaluation of Coin Ingestions in Children?	medicine	1	medicine	0	3
3119	Lost in processing? Perceived healthfulness, taste and caloric content of whole and processed organic food	neuroscience	0	neuroscience	0	4
543	The Hermunculus: What Is Known about the Representation of the Female Body in the Brain?	psychology	1	neuroscience	0	4
2361	New records of rotifers from the South Island lakes, New Zealand	bio_env	0	bio_env	0	1
44	Courtship Behaviour of Ostriches (Struthio camelus) Towards Humans Under Farming Conditions in Britain.	biology	1	bio_env	1	1
3322	On the Geometry of Covariance Matrices	exact_eng	0	exact_eng	0	2
2272	Identification of genomic regions for rust resistance in sorghum	bio_env	0	bio_env	0	1
2034	Training for bronchoscopists: is less more?	medicine	0	medicine	0	3
2795	White Matter Structure Changes as Adults Learn a Second Language	neuroscience	0	neuroscience	0	4
2713	Pain demands attention from others: The approach/avoidance paradox	neuroscience	0	neuroscience	0	4
1317	Rectal Impalement by Pirate Ship: A Case Report	medicine	1	medicine	0	3
2544	Incongruence effects in crossmodal emotional integration	neuroscience	0	neuroscience	0	4
875	Sport Fan Identification in Obituaries.	psychology	1	neuroscience	0	4
2437	Field measurements of net photosynthesis of lichens in the Antarctic	bio_env	0	bio_env	0	1
3040	Zur Neurologie des Traumschlafs	neuroscience	0	neuroscience	0	4
1258	Changing Eating Habits on the Home Front: Lost Lessons from World War II Research.	economics	1	neuroscience	0	4
2952	Robust Underestimation of Speed During Driving: A Field Study.	neuroscience	0	neuroscience	0	4
2705	Toward Nonlinear Local Reinforcement Learning Rules Through Neuroevolution	neuroscience	0	neuroscience	0	4
497	Free range chicken soup.	medicine	1	medicine	0	3
2515	Nucleus accumbens dimensions and surgical precision	neuroscience	0	neuroscience	0	4
2843	Dopamine modulates involuntary attention shifting and reorienting: an electromagnetic study	neuroscience	0	neuroscience	0	4
3146	Sodium Valproate Ameliorates Neuronal Apoptosis in a Kainic Acid Model of Epilepsy via Enhancing PKC-Dependent GABAAR γ2 Serine 327 Phosphorylation	neuroscience	0	neuroscience	0	4
3046	Connectionist mechanisms for cognitive control	neuroscience	0	neuroscience	0	4
1841	An MRI-Driven Practice: a New Perspective on MRI for the Evaluation of Adenocarcinoma of the Head of the Pancreas	medicine	0	medicine	0	3
2550	Input-Specific NMDAR-Dependent Potentiation of Dendritic GABAergic Inhibition	neuroscience	0	neuroscience	0	4
416	Christmas gingerbread (Lebkuchen) and Christmas cheer--review of the potential role of mood elevating amphetamine-like compounds formed in vivo and in furno.	psychology	1	neuroscience	0	4
1201	The Case of Utter vs. Utter.	biology	1	bio_env	0	1
2850	Robert Schumann in der Heil- und Pflegeanstalt Endenich bei Bonn	neuroscience	0	neuroscience	0	4
2439	Persistent maternal identity effects on life history traits in Daphnia	bio_env	0	bio_env	0	1
1914	Enzymatic and physiological study of d-xylose metabolism by Candida shehatae	medicine	0	medicine	0	3
1520	The Identification and Perception of Bottled Water	psychology	1	neuroscience	0	4
1938	Commentary: Drug safety epidemiology: Time for Europe to start using this instrument	medicine	0	medicine	0	3
2885	Distributional structure in language: Contributions to noun–verb difficulty differences in infant word recognition	neuroscience	0	neuroscience	0	4
3188	Brain-derived neurotrophic factor contributes to spinal long-term potentiation and mechanical hypersensitivity by activation of spinal microglia in rat	neuroscience	0	neuroscience	0	4
2327	Impaired Leaf Litter Processing in Acidified Streams	bio_env	0	bio_env	0	1
902	Safe and painless manipulation of penile zipper entrapment	medicine	1	medicine	0	3
729	Serotonin and Aggressive Motivation in Crustaceans: Altering the Decision to Retreat	psychology	1	neuroscience	0	4
2827	Sex-specific hippocampal 5-hydroxymethylcytosine is disrupted in response to acute stress	neuroscience	0	neuroscience	0	4
2104	Trends in traumatic out-of-hospital cardiac arrest in Perth, Western Australia from 1997 to 2014.	medicine	0	medicine	0	3
2526	NMDA receptors and central hyperalgesic states	neuroscience	0	neuroscience	0	4
2039	Pharmacotherapy versus T lymphocytes for CMV.	medicine	0	medicine	0	3
1172	Resource Security Impacts Men's Female Breast Size Preferences	psychology	1	neuroscience	0	4
1760	Internettechnologie für klinische Anwendungen in einer digitalen Röntgenabteilung	medicine	0	medicine	0	3
173	Injuries Due to Falling Coconuts	medicine	1	medicine	1	3
1483	"Disambiguating the ""guilty look"": salient prompts to a familiar dog behaviour."	psychology	1	neuroscience	0	4
3273	Control Strategy for Harmonic Elimination in Stand-Alone DFIG Applications With Nonlinear Loads	exact_eng	0	exact_eng	0	2
2095	Multiple adenomatous polyps arising in a continent reservoir ileostomy	medicine	0	medicine	0	3
801	Super Bowls: serving bowl size and food consumption	psychology	1	neuroscience	0	4
2640	Changes in perceived finger force produced by muscular contractions under isometric and anisometric conditions	neuroscience	0	neuroscience	0	4
1518	Consumer Perception and Preference of Bottled and Tap Water	biology	1	bio_env	0	1
421	Love in the Afternoon.	psychology	1	neuroscience	0	4
3396	Investigation of a Five-Phase E-Core Hybrid-Excitation Flux-Switching Machine for EV and HEV Applications	exact_eng	0	exact_eng	0	2
3113	Mutations in the <ce:italic>PLP1</ce:italic> gene residue p. Gly198 as the molecular basis of Pelizeaus–Merzbacher phenotype	neuroscience	0	neuroscience	0	4
1194	Unexpected but Incidental Positive Outcomes Predict Real-World Gambling	psychology	1	neuroscience	0	4
182	The Monuments of Mars: A City on the Edge of Forever	physics	1	exact_eng	1	2
1446	Ultrasound-guided breast biopsy for surgical residents: evaluation of a phantom model.	medicine	1	medicine	0	3
1546	Induction of an illusory shadow person	psychology	1	neuroscience	0	4
3126	A Depressive State in Rats in Chronic Combined Stress Induced by Combined Stresses of Different Modalities	neuroscience	0	neuroscience	0	4
2847	Towards in vivo focal cortical dysplasia phenotyping using quantitative MRI	neuroscience	0	neuroscience	0	4
350	Penile anatomy and hypotheses of erectile function in the American alligator (Alligator mississippiensis): muscular eversion and elastic retraction.	biology	1	bio_env	0	1
322	Why Barbie feels heavier than Ken: The influence of size-based expectancies and social cues on the illusory perception of weight	psychology	1	neuroscience	0	4
657	Treatment of Penile Strangulation Caused by Constricting Devices	medicine	1	medicine	0	3
202	Toxoplasma gondii Dopamine a missing link between schizophrenia and toxoplasmosis?	psychology	1	neuroscience	0	4
2510	Multi-subject analyses with dynamic causal modeling	neuroscience	0	neuroscience	0	4
722	The case of the haunted scrotum.	medicine	1	medicine	0	3
1969	Review of the treatment of mycosis fungoides and sézary syndrome: a stage-based approach.	medicine	0	medicine	0	3
2117	Single and tandem stents in sheep iliac arteries: Is there a difference in patency?	medicine	0	medicine	0	3
2600	Secondary Data Issues and Non-generalizability of Findings	neuroscience	0	neuroscience	0	4
2375	Fatty acids from 11 marine macroalgae of the French Brittany coast	bio_env	0	bio_env	0	1
2587	Comments on variability in contrast sensitivity methodology	neuroscience	0	neuroscience	0	4
1107	Learning and Decision Making in Monkeys During a Rock-Paper-Scissors Game.	psychology	1	neuroscience	0	4
3183	Emotion and relative reward processing: An investigation on instrumental successive negative contrast and ultrasonic vocalizations in the rat	neuroscience	0	neuroscience	0	4
2017	Guillain-Barre syndrome occurring after rabies vaccination.	medicine	0	medicine	0	3
1009	"The unsuccessful self-treatment of a case of ""writer's block"	medicine	1	medicine	0	3
392	Women's hairstyle and men's behavior: A field experiment.	psychology	1	neuroscience	0	4
49	Contraceptive efficacy of polyester-induced azoospermia in normal men.	psychology	1	neuroscience	1	4
200	Penises of the Animal Kingdom	biology	1	bio_env	1	1
2206	Simultaneous large bi-atrial device-related thrombi	medicine	0	medicine	0	3
3069	Rapid annexin-V labeling in synaptosomes	neuroscience	0	neuroscience	0	4
2336	Dispersal and mating in a size-dimorphic ant	bio_env	0	bio_env	0	1
974	Sleep-related erections throughout the ages.	psychology	1	neuroscience	0	4
1648	Microbial Diversity and Putative Opportunistic Pathogens in Dishwasher Biofilm Communities.	biology	1	bio_env	0	1
